Song Name,Popularity,Energy,Danceability,Valence,Phase
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),40,0.507,0.632,0.216,Phase 1
Holy Ground (Taylor's Version),34,0.805,0.623,0.494,Phase 1
The Moment I Knew (Taylor's Version),34,0.396,0.638,0.193,Phase 1
Sad Beautiful Tragic (Taylor's Version),34,0.395,0.602,0.212,Phase 1
Come Back...Be Here (Taylor's Version),35,0.626,0.533,0.344,Phase 1
The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),35,0.55,0.504,0.165,Phase 1
Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),38,0.375,0.308,0.492,Phase 2
Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),38,0.485,0.606,0.443,Phase 2
The Very First Night (Taylor's Version) (From The Vault),38,0.726,0.68,0.604,Phase 2
Forever Winter (Taylor's Version) (From The Vault),36,0.539,0.611,0.389,Phase 2
